P112808484000189042995663                   CELESTE ALIMENTOS                                 
P212808484000189001PISO CER. 34X34 TATI AZUL A ESCURIAL                                      00041PISO CER. 34X34 TATI AZUL A ESCURIAL    T1700000000000000
P212808484000189001PISO CER. 20X20 ATLANTA A                                                 00026PISO CER. 20X20 ATLANTA A               T1700000000000000
P212808484000189001PISO CER. 20X20 MALTA A                                                   00032PISO CER. 20X20 MALTA A                 T1700000000000000
P212808484000189001PISO CER. 30X30 MALTA A                                                   00040PISO CER. 30X30 MALTA A                 T1700000000000000
P212808484000189001TP. CAIXA DAGUA CON 1000L BRASILIT                                        00044TP. CAIXA DAGUA CON 1000L BRASILIT      T1700000000000000
P212808484000189001CAIXA DAGUA CONICA BRASILIT  500 L                                        00045CAIXA DAGUA CONICA BRASILIT  500 L      T1700000000000000
P212808484000189001TP. CAIXA DAGUA CON 500L BRASILIT                                         00046TP. CAIXA DAGUA CON 500L BRASILIT       T1700000000000000
P212808484000189001CAIXA DAGUA CONICA BRASILIT  250 L                                        00047CAIXA DAGUA CONICA BRASILIT  250 L      T1700000000000000
P212808484000189001TP. CAIXA DAGUA CON 250L BRASILIT                                         00048TP. CAIXA DAGUA CON 250L BRASILIT       T1700000000000000
P212808484000189001PISO CER. 34X34 MORGANA BRANCO A ESCURIA                                  00042PISO CER. 34X34 MORGANA BRANCO A ESCURIAT1700000000000000
P212808484000189001CAIXA DAGUA CONICA BRASILIT 1000 L                                        00049CAIXA DAGUA CONICA BRASILIT 1000 L      T1700000000000000
P212808484000189001TP. CAIXA AQUALEV 1000L "CINZA"                                           00050TP. CAIXA AQUALEV 1000L "CINZA"         T1700000000000000
P212808484000189001CAIXA CON. AQUALEV 500L                                                   00051CAIXA CON. AQUALEV 500L                 T1700000000000000
P212808484000189001TP. CAIXA AQUALEV 500L                                                    00052TP. CAIXA AQUALEV 500L                  T1700000000000000
P212808484000189001CHAPA FIBROTEX 4MM 2.44X0.50M                                             00053CHAPA FIBROTEX 4MM 2.44X0.50M           T1700000000000000
P212808484000189001CHAPA RESIDENCIAL 5MM 1.22X1.10                                           00054CHAPA RESIDENCIAL 5MM 1.22X1.10         T1700000000000000
P212808484000189001CHAPA RESIDENCIAL 5MM 1.83X1.10                                           00055CHAPA RESIDENCIAL 5MM 1.83X1.10         T1700000000000000
P212808484000189001CHAPA RESIDENCIAL 5MM 2.13X1.10                                           00056CHAPA RESIDENCIAL 5MM 2.13X1.10         T1700000000000000
P212808484000189001CHAPA RESIDENCIAL 5MM 2.44X1.10                                           00057CHAPA RESIDENCIAL 5MM 2.44X1.10         T1700000000000000
P212808484000189001CHAPA ONDULADA 6MM 1.22X1.10                                              00058CHAPA ONDULADA 6MM 1.22X1.10            T0437000000000000
P212808484000189001CHAPA ONDULADA 6MM 1.53X1.10                                              00059CHAPA ONDULADA 6MM 1.53X1.10            T1700000000000000
P212808484000189001CHAPA ONDULADA 6MM 1.83X1.10                                              00060CHAPA ONDULADA 6MM 1.83X1.10            T1700000000000000
P212808484000189001CHAPA ONDULADA 6MM 2.13X1.10                                              00061CHAPA ONDULADA 6MM 2.13X1.10            T1700000000000000
P212808484000189001CHAPA ONDULADA 6MM 2.44X1.10                                              00062CHAPA ONDULADA 6MM 2.44X1.10            T1700000000000000
P212808484000189001CHAPA ONDULADA 6MM 3.05X1.10                                              00063CHAPA ONDULADA 6MM 3.05X1.10            T1700000000000000
P212808484000189001CHAPA ONDULADA 6MM 3.66X1.10                                              00064CHAPA ONDULADA 6MM 3.66X1.10            T1700000000000000
P212808484000189001AMOSTRA DIVERSAS ESCURIAL                                                 00097AMOSTRA DIVERSAS ESCURIAL               T1700000000000000
P212808484000189001TELHA KALHETA 8MM 3.60M                                                   00065TELHA KALHETA 8MM 3.60M                 T1700000000000000
P212808484000189001TELHA KALHETA 8MM 4.00M                                                   00066TELHA KALHETA 8MM 4.00M                 T1700000000000000
P212808484000189001TELHA KALHETA 8MM 4.50M                                                   00067TELHA KALHETA 8MM 4.50M                 T1700000000000000
P212808484000189001TELHA KALHETA 8MM 5.00M                                                   00068TELHA KALHETA 8MM 5.00M                 T1700000000000000
P212808484000189001TELHA KALHETA 8MM 5.50M                                                   00069TELHA KALHETA 8MM 5.50M                 T1700000000000000
P212808484000189001TELHA KALHETA 8MM 6.00M                                                   00070TELHA KALHETA 8MM 6.00M                 T1700000000000000
P212808484000189001TELHA KALHETA 8MM 6.50M                                                   00071TELHA KALHETA 8MM 6.50M                 T1700000000000000
P212808484000189001TELHA KALHETAO 8MM 3.70M                                                  00072TELHA KALHETAO 8MM 3.70M                T1700000000000000
P212808484000189001TELHA KALHETAO 8MM 4.60M                                                  00073TELHA KALHETAO 8MM 4.60M                T1700000000000000
P212808484000189001TELHA KALHETAO 8MM 6.00M                                                  00074TELHA KALHETAO 8MM 6.00M                T1700000000000000
P212808484000189001CUMEEIRA ARTICULADA TTX SUP                                               00075CUMEEIRA ARTICULADA TTX SUP             T1700000000000000
P212808484000189001CUMEEIRA ARTICULADA TTX INF                                               00076CUMEEIRA ARTICULADA TTX INF             T1700000000000000
P212808484000189001ESTRIBO VERGALHAO 4.2 (7X17)                                              00077ESTRIBO VERGALHAO 4.2 (7X17)            T1700000000000000
P212808484000189001ARGAMASSA QUARTZOLIT 20KG ACI                                             00080ARGAMASSA QUARTZOLIT 20KG ACI           T1700000000000000
P212808484000189001PISO CER. 20X20 IRIS BRANCO A                                             00106PISO CER. 20X20 IRIS BRANCO A           T1700000000000000
P212808484000189001ESTRIBO VERGALHAO 4.2 (7X27)                                              00081ESTRIBO VERGALHAO 4.2 (7X27)            T1700000000000000
P212808484000189001TELHA MAXIPLAC 8MM 3.00X1.06                                              00085TELHA MAXIPLAC 8MM 3.00X1.06            T1700000000000000
P212808484000189001TELHA MAXIPLAC 8MM 4.10X1.06                                              00086TELHA MAXIPLAC 8MM 4.10X1.06            T1700000000000000
P212808484000189001PREGO GERDAU 1X15                                                         00087PREGO GERDAU 1X15                       T1700000000000000
P212808484000189001PREGO GERDAU 1.1/2X14                                                     00088PREGO GERDAU 1.1/2X14                   T1700000000000000
P212808484000189001PREGO GERDAU 2X14                                                         00089PREGO GERDAU 2X14                       T1700000000000000
P212808484000189001PREGO GERDAU 2.1/2X12                                                     00090PREGO GERDAU 2.1/2X12                   T1700000000000000
P212808484000189001PREGO GERDAU 2X10                                                         00091PREGO GERDAU 2X10                       T1700000000000000
P212808484000189001PREGO GERDAU 1.1/2X15                                                     00092PREGO GERDAU 1.1/2X15                   T1700000000000000
P212808484000189001PISO CER. 30X30 ARIANA A                                                  00093PISO CER. 30X30 ARIANA A                T1700000000000000
P212808484000189001CUMEEIRA NORMAL TOD 10 G 1,10M                                            00094CUMEEIRA NORMAL TOD 10 G 1,10M          T1700000000000000
P212808484000189001PREGO GERDAU 1X16                                                         00095PREGO GERDAU 1X16                       T1700000000000000
P212808484000189001PISO CER. 30X30 COPACABANA A                                              00096PISO CER. 30X30 COPACABANA A            T1700000000000000
P212808484000189001PISO CER. 30X30 SEVILHA GRIS A                                            00098PISO CER. 30X30 SEVILHA GRIS A          T1700000000000000
P212808484000189001PISO CER. 30X30 MALLORCA CORAL A                                          00099PISO CER. 30X30 MALLORCA CORAL A        T1700000000000000
P212808484000189001PISO CER. 20X20 ALABASTRO A                                               00101PISO CER. 20X20 ALABASTRO A             T1700000000000000
P212808484000189001CUMEEIRA UNIVERSAL TOD / TRE 1.10 M                                       00102CUMEEIRA UNIVERSAL TOD / TRE 1.10 M     T1700000000000000
P212808484000189001PREGO GERDAU 1.1/4X14                                                     00103PREGO GERDAU 1.1/4X14                   T1700000000000000
P212808484000189001PISO CER. 20X20 ANDES CINZA A                                             00104PISO CER. 20X20 ANDES CINZA A           T1700000000000000
P212808484000189001PISO CER. 30X30 ALBANY BRANCO A                                           00105PISO CER. 30X30 ALBANY BRANCO A         T1700000000000000
P212808484000189001PISO CER. 30X30 MALLORCA GRIS A                                           00108PISO CER. 30X30 MALLORCA GRIS A         T1700000000000000
P212808484000189001PISO CER. 30X30 ALBANY BEGE A                                             00111PISO CER. 30X30 ALBANY BEGE A           T1700000000000000
P212808484000189001HIDRACOR BRANCO FRD 10/2                                                  00112HIDRACOR BRANCO FRD 10/2                T1700000000000000
P212808484000189001HIDRACOR BRANCO GELO FRD 10/2                                             00113HIDRACOR BRANCO GELO FRD 10/2           T1700000000000000
P212808484000189001HIDRACOR CREME FRD 10/2                                                   00114HIDRACOR CREME FRD 10/2                 T1700000000000000
P212808484000189001HIDRACOR AZUL PAVAO FRD 10/2                                              00115HIDRACOR AZUL PAVAO FRD 10/2            T1700000000000000
P212808484000189001HIDRACOR VERDE AMAZONAS FRD 10/2                                          00116HIDRACOR VERDE AMAZONAS FRD 10/2        T1700000000000000
P212808484000189001HIDRACOR PESSEGO FRD 10/2                                                 00117HIDRACOR PESSEGO FRD 10/2               T1700000000000000
P212808484000189001PISO CER. 10X10 IRIS BRANCO A                                             00118PISO CER. 10X10 IRIS BRANCO A           T1700000000000000
P212808484000189001PISO CER. 10X10 IRIS CINZA A                                              00119PISO CER. 10X10 IRIS CINZA A            T1700000000000000
P212808484000189001PISO CER. 10X10 IRIS AZUL A                                               00120PISO CER. 10X10 IRIS AZUL A             T1700000000000000
P212808484000189001PISO CER. 10X10 IRIS MARFIM A                                             00121PISO CER. 10X10 IRIS MARFIM A           T1700000000000000
P212808484000189001PISO CER. 30X30 ALBANY CINZA A                                            00122PISO CER. 30X30 ALBANY CINZA A          T1700000000000000
P212808484000189001 PISO CER. 30X30 ASPEN SKY A                                              00124PISO CER. 30X30 ASPEN SKY A 123456789012T1700000000000000
P212808484000189001HIDRACOR AMARELO FRD 10/2 12345678901234                                  00125HIDRACOR AMARELO FRD 10/2 12345678901234I0000000000000000
P212808484000189001SADFASFDGSDFG                                                             00128SADFASFDGSDFG                           T1700000000000000
P212808484000189001HIDRACOR AZUL CELESTE FRD 10/2                                            00127HIDRACOR AZUL CELESTE FRD 10/2          T0700000000000000
P212808484000189001HIDRACOR ROSA FRD 10/2                                                    00129HIDRACOR ROSA FRD 10/2                  T1700000000000000
P212808484000189001ASDFASDF                                                                  00164ASDFASDF                                T1700000000000000
P212808484000189001HIDRACOR AREIA FRD 10/2                                                   00130HIDRACOR AREIA FRD 10/2                 T1700000000000000
P212808484000189001ESTRIBO VERGALHAO 4.2 (17X17)                                             00131ESTRIBO VERGALHAO 4.2 (17X17)           T1700000000000000
P212808484000189001AWDFADS                                                                   00159AWDFADS                                 T1700000000000000
P212808484000189001TRELICA GERDAU TG8L 8M                                                    00132TRELICA GERDAU TG8L 8M                  T1700000000000000
P212808484000189001TRELICA GERDAU TG8L 6M                                                    00133TRELICA GERDAU TG8L 6M                  T1700000000000000
P212808484000189001PISO CER. 10X10 IRIS VERDE A                                              00135PISO CER. 10X10 IRIS VERDE A            T1700000000000000
P212808484000189001PISO CER. 10X10 IRIS AMARELO A                                            00137PISO CER. 10X10 IRIS AMARELO A          T1700000000000000
P212808484000189001PISO CER. 10X10 IRIS BEGE A                                               00138PISO CER. 10X10 IRIS BEGE A             T1700000000000000
P212808484000189001ARAME FARPADO GIR 1.60MM 250M                                             00140ARAME FARPADO GIR 1.60MM 250M           T1700000000000000
P212808484000189001ARAME FARPADO GIR 1.60MM 500M                                             00141ARAME FARPADO GIR 1.60MM 500M           T1700000000000000
P212808484000189001TESTE DE PRODUTOS INSENTOS                                                00126TESTE DE PRODUTOS INSENTOS              I0000000000000000
P212808484000189001ARAME GALVANIZADO BWG 12 (1 KG)                                           00142ARAME GALVANIZADO BWG 12 (1 KG)         T1700000000000000
P212808484000189001TESTE 2                                                                   00160TESTE 2                                 T1700000000000000
P212808484000189001ARAME GALVANIZADO BWG 14 (1 KG)                                           00143ARAME GALVANIZADO BWG 14 (1 KG)         I0000000000000000
P212808484000189001SDFGSDFGSDF                                                               00134SDFGSDFGSDF                             T1700000000000000
P212808484000189001TESTE 56                                                                  00161TESTE 56                                T1700000000000000
P212808484000189001ARAME GALVANIZADO BWG 16 (1 KG)                                           00144ARAME GALVANIZADO BWG 16 (1 KG)         T1700000000000000
P212808484000189001ARAME GALVANIZADO BWG 18 (1 KG)                                           00145ARAME GALVANIZADO BWG 18 (1 KG)         T1700000000000000
P212808484000189001PISO CER. 30X30 TECHNO MARROM A                                           00149PISO CER. 30X30 TECHNO MARROM A         T1700000000000000
P212808484000189001HIDRACOR VERDE CANA FRD 10/2                                              00152HIDRACOR VERDE CANA FRD 10/2            T1700000000000000
P212808484000189001TESTE 2                                                                   00162TESTE 2                                 T1700000000000000
P212808484000189001CARRINHO METALOSA POP PC (3,25X8)                                         00153CARRINHO METALOSA POP PC (3,25X8)       T1700000000000000
P212808484000189001CARRO DE MAO CONSTR. P MACICO                                             00154CARRO DE MAO CONSTR. P MACICO           T1700000000000000
P212808484000189001TESTE 4                                                                   00163TESTE 4                                 T1700000000000000
P212808484000189001ESFKJNVWGELKJFJGVLKHEWKJLHGJEWH                                           00136ESFKJNVWGELKJFJGVLKHEWKJLHGJEWH         T1700000000000000
P212808484000189001CARRINHO METALOSA POP PC (2,50X8)                                         00155CARRINHO METALOSA POP PC (2,50X8)       T1700000000000000
P212808484000189001TELHA MAXIPLAC 8MM 4.60X1.06                                              00156TELHA MAXIPLAC 8MM 4.60X1.06            T1700000000000000
P212808484000189001TELHA MAXIPLAC 8MM 3.30X1.06                                              00157TELHA MAXIPLAC 8MM 3.30X1.06            T1700000000000000
P212808484000189001PISO CER. 30X30 TECHNO CINZA A                                            00158PISO CER. 30X30 TECHNO CINZA A          T1700000000000000
P212808484000189001SZADFCVGASGDFASF                                                          00165SZADFCVGASGDFASF                        T1700000000000000
P212808484000189001RODA C/ PNEU CAMARA 3,25X8                                                00166RODA C/ PNEU CAMARA 3,25X8              T1700000000000000
P212808484000189001CUMEEIRA NORMAL TOD 15 G 1,10M                                            00167CUMEEIRA NORMAL TOD 15 G 1,10M          T1700000000000000
P212808484000189001REJUNTE PISO COLA BRANCO FRD 40X1                                         00179REJUNTE PISO COLA BRANCO FRD 40X1       T1700000000000000
P212808484000189001REJUNTE PISO COLA CINZA FRD 40X1                                          00180REJUNTE PISO COLA CINZA FRD 40X1        T1700000000000000
P212808484000189001REJUNTE PISO COLA GRAFITE FRD 40X1                                        00181REJUNTE PISO COLA GRAFITE FRD 40X1      T1700000000000000
P212808484000189001REJUNTE PISO COLA MARROM FRD 40X1                                         00182REJUNTE PISO COLA MARROM FRD 40X1       T1700000000000000
P212808484000189001REJUNTE PISO COLA PRETO FRD 40X1                                          00183REJUNTE PISO COLA PRETO FRD 40X1        T1700000000000000
P212808484000189001SDFCGVASFGDFASFGAS                                                        00169SDFCGVASFGDFASFGAS                      T1700000000000000
P212808484000189001VERGALHAO CA 50 1/4  GERDAU                                               00003VERGALHAO CA 50 1/4  GERDAU             T0341000000000000
P212808484000189001PISO CER. 33X33 APOLO EXT                                                 00193PISO CER. 33X33 APOLO EXT               T1700000000000000
P212808484000189001SZDFASFDGDFSDFG                                                           00168SZDFASFDGDFSDFG                         T1700000000000000
P212808484000189001PISO CER. 33X33 BOTTICINO STD                                             00197PISO CER. 33X33 BOTTICINO STD           T1700000000000000
P212808484000189001PISO CER. 33X33 CIANITA BRANCO STD                                        00199PISO CER. 33X33 CIANITA BRANCO STD      T1700000000000000
P212808484000189001PISO CER. 33X33 MATE BRANCO STD                                           00203PISO CER. 33X33 MATE BRANCO STD         T1700000000000000
P212808484000189001CUMEEIRA NORMAL TOD 20 G 1,10M                                            00209CUMEEIRA NORMAL TOD 20 G 1,10M          T1700000000000000
P212808484000189001TUBO PVC AMANCO SOLDAVEL  20 X 6M ( 1/2)                                  00264TUBO PVC AMANCO SOLDAVEL  20 X 6M ( 1/2)T1700000000000000
P212808484000189001TUBO PVC AMANCO SOLDAVEL  25 X 6M ( 3/4)                                  00265TUBO PVC AMANCO SOLDAVEL  25 X 6M ( 3/4)T1700000000000000
P212808484000189001TUBO PVC AMANCO SOLDAVEL  32 X 6M                                         00266TUBO PVC AMANCO SOLDAVEL  32 X 6M       T1700000000000000
P212808484000189001TUBO PVC AMANCO SOLDAVEL  50 X 6M                                         00267TUBO PVC AMANCO SOLDAVEL  50 X 6M       T1700000000000000
P212808484000189001TUBO PVC AMANCO ESGOTO SN DN  40 X 6M                                     00268TUBO PVC AMANCO ESGOTO SN DN  40 X 6M   T1700000000000000
P212808484000189001TUBO PVC AMANCO ESGOTO SN DN  50 X 6M                                     00269TUBO PVC AMANCO ESGOTO SN DN  50 X 6M   T1700000000000000
P212808484000189001TUBO PVC AMANCO ESGOTO SN DN  75 X 6M                                     00270TUBO PVC AMANCO ESGOTO SN DN  75 X 6M   T1700000000000000
P212808484000189001TUBO PVC AMANCO ESGOTO SN DN 150 X 6M                                     00271TUBO PVC AMANCO ESGOTO SN DN 150 X 6M   T1700000000000000
P212808484000189001TUBO PVC AMANCO ESGOTO SN DN 100 X 6M                                     00272TUBO PVC AMANCO ESGOTO SN DN 100 X 6M   T1700000000000000
P212808484000189001PISO CER. 34X34 TATI VERDE A ESCURIAL                                     00084PISO CER. 34X34 TATI VERDE A ESCURIAL   T1700000000000000
P212808484000189001VERGALHAO CA 50 5/8  GERDAU                                               00273VERGALHAO CA 50 5/8  GERDAU             T1700000000000000
P212808484000189001PISO CER. 30X30 TECHNO BEGE A                                             00274PISO CER. 30X30 TECHNO BEGE A           T1700000000000000
P212808484000189001JOELHO 90 SOLDAVEL 50MM                                                   00276JOELHO 90 SOLDAVEL 50MM                 T1700000000000000
P212808484000189001LUVA SOLDAVEL 25 MM                                                       00277LUVA SOLDAVEL 25 MM                     T1700000000000000
P212808484000189001LUVA SOLDAVEL 50 MM                                                       00278LUVA SOLDAVEL 50 MM                     T1700000000000000
P212808484000189001LUVA SIMPLES ESGOTO SN DN  40                                             00279LUVA SIMPLES ESGOTO SN DN  40           T1700000000000000
P212808484000189001LUVA SIMPLES ESGOTO SN DN  50                                             00280LUVA SIMPLES ESGOTO SN DN  50           T1700000000000000
P212808484000189001JOELHO 90 ESGOTO SN DN  40                                                00281JOELHO 90 ESGOTO SN DN  40              T1700000000000000
P212808484000189001JOELHO 90 SOLDAVEL 20MM                                                   00282JOELHO 90 SOLDAVEL 20MM                 T1700000000000000
P212808484000189001JOELHO 90 SOLDAVEL 25MM                                                   00283JOELHO 90 SOLDAVEL 25MM                 T1700000000000000
P212808484000189001LUVA SOLDAVEL 20 MM                                                       00284LUVA SOLDAVEL 20 MM                     T1700000000000000
P212808484000189001TE SOLDAVEL 20MM                                                          00285TE SOLDAVEL 20MM                        T1700000000000000
P212808484000189001TE SOLDAVEL 25MM                                                          00286TE SOLDAVEL 25MM                        T1700000000000000
P212808484000189001TE SOLDAVEL 50MM                                                          00287TE SOLDAVEL 50MM                        T1700000000000000
P212808484000189001TE ESGOTO SN DN  40                                                       00288TE ESGOTO SN DN  40                     T1700000000000000
P212808484000189001JOELHO 90 ESGOTO SN DN  50                                                00289JOELHO 90 ESGOTO SN DN  50              T1700000000000000
P212808484000189001JOELHO 90 ESGOTO SN DN 100                                                00290JOELHO 90 ESGOTO SN DN 100              T1700000000000000
P212808484000189001LUVA SIMPLES ESGOTO SN DN 100                                             00291LUVA SIMPLES ESGOTO SN DN 100           T1700000000000000
P212808484000189001TE ESGOTO SN DN  50                                                       00292TE ESGOTO SN DN  50                     T1700000000000000
P212808484000189001TE ESGOTO SN DN 100                                                       00293TE ESGOTO SN DN 100                     T1700000000000000
P212808484000189001CAIXA AGUA POLYFIT 500L                                                   00295CAIXA AGUA POLYFIT 500L                 T1700000000000000
P212808484000189001TP. CAIXA POLYFIT 310L                                                    00298TP. CAIXA POLYFIT 310L                  T1700000000000000
P212808484000189001CAIXA AGUA POLYFIT 1000L                                                  00299CAIXA AGUA POLYFIT 1000L                T1700000000000000
P212808484000189001TP. CAIXA POLYFIT 1000L                                                   00300TP. CAIXA POLYFIT 1000L                 T1700000000000000
P212808484000189001CORANTE LIQUIDO VERMELHO                                                  00328CORANTE LIQUIDO VERMELHO                T1700000000000000
P212808484000189001CORANTE LIQUIDO AMARELO                                                   00329CORANTE LIQUIDO AMARELO                 T1700000000000000
P212808484000189001CORANTE LIQUIDO AZUL                                                      00330CORANTE LIQUIDO AZUL                    T1700000000000000
P212808484000189001CORANTE LIQUIDO VERDE                                                     00331CORANTE LIQUIDO VERDE                   T1700000000000000
P212808484000189001CORANTE LIQUIDO OCRE                                                      00332CORANTE LIQUIDO OCRE                    T1700000000000000
P212808484000189001CORANTE LIQUIDO PRETO                                                     00333CORANTE LIQUIDO PRETO                   T1700000000000000
P212808484000189001CORANTE LIQUIDO MARRON                                                    00334CORANTE LIQUIDO MARRON                  T1700000000000000
P212808484000189001SUPERCAL 10 KG                                                            00335SUPERCAL 10 KG                          T1700000000000000
P212808484000189001SELOS FISCAIS NUMERADOS                                                   00028SELOS FISCAIS NUMERADOS                 T1700000000000000
P212808484000189001PISO CER. 10X10 ANDES CINZA A                                             00336PISO CER. 10X10 ANDES CINZA A           T1700000000000000
P212808484000189001ARGAMASSA QUARTZOLIT 20KG ACIII                                           00339ARGAMASSA QUARTZOLIT 20KG ACIII         T1700000000000000
P212808484000189001PISO CER. 20X20 IRIS BRANCO A                                             00351PISO CER. 20X20 IRIS BRANCO A           T1700000000000000
P212808484000189001PISO CER. 30X30 DALLAS CINZA A                                            00352PISO CER. 30X30 DALLAS CINZA A          T1700000000000000
P212808484000189001PISO CER. 30X30 DALLAS SALMAO A                                           00353PISO CER. 30X30 DALLAS SALMAO A         T1700000000000000
P212808484000189001TELHA KALHETA 8MM 3.00M                                                   00354TELHA KALHETA 8MM 3.00M                 T1700000000000000
P212808484000189001ESTRIBO VERGALHAO 4.2 (17X27)                                             00355ESTRIBO VERGALHAO 4.2 (17X27)           T1700000000000000
P212808484000189001HIDRAFORT BRANCO                                                          00356HIDRAFORT BRANCO                        T1700000000000000
P212808484000189001HIDRAFORT BRANCO GELO                                                     00357HIDRAFORT BRANCO GELO                   T1700000000000000
P212808484000189001HIDRAFORT AMARELO                                                         00358HIDRAFORT AMARELO                       T1700000000000000
P212808484000189001HIDRAFORT CREME                                                           00359HIDRAFORT CREME                         T1700000000000000
P212808484000189001HIDRAFORT AZUL PAVAO                                                      00360HIDRAFORT AZUL PAVAO                    T1700000000000000
P212808484000189001HIDRAFORT VERDE AMAZONAS                                                  00361HIDRAFORT VERDE AMAZONAS                T1700000000000000
P212808484000189001HIDRAFORT ROSA                                                            00362HIDRAFORT ROSA                          T1700000000000000
P212808484000189001ARGAMASSA DO MESTRE 20 KG                                                 00363ARGAMASSA DO MESTRE 20 KG               T1700000000000000
P212808484000189001CHAPA RESIDENCIAL 5MM 1.53X1.10                                           00364CHAPA RESIDENCIAL 5MM 1.53X1.10         T1700000000000000
P212808484000189001VERGALHAO CA 50 3/4  GERDAU                                               00365VERGALHAO CA 50 3/4  GERDAU             T1700000000000000
P212808484000189001PISO CER. 20X20 ALBANY BRANCO A                                           00373PISO CER. 20X20 ALBANY BRANCO A         T1700000000000000
P212808484000189001PISO CER. 10X10 IRIS GRAFITE A                                            00375PISO CER. 10X10 IRIS GRAFITE A          T1700000000000000
P212808484000189001CAIXA FORTLEV POLIETILENO  150 L C/TP                                     00109CAIXA FORTLEV POLIETILENO  150 L C/TP   T1700000000000000
P212808484000189001HIDRAFORT PESSEGO                                                         00377HIDRAFORT PESSEGO                       T1700000000000000
P212808484000189001TP. CAIXA AQUALEV 1000L                                                   00034TP. CAIXA AQUALEV 1000L                 T1700000000000000
P212808484000189001HIDRACOR FLAMINGO FRD 10/2                                                00382HIDRACOR FLAMINGO FRD 10/2              T1700000000000000
P212808484000189001HIDRACOR CROMO SUAVE FRD 10/2                                             00383HIDRACOR CROMO SUAVE FRD 10/2           T1700000000000000
P212808484000189001HIDRACOR TERRACOTA FRD 10/2                                               00384HIDRACOR TERRACOTA FRD 10/2             T1700000000000000
P212808484000189001PISO CER. 30X30 MONACO A                                                  00386PISO CER. 30X30 MONACO A                T1700000000000000
P212808484000189001MALHA POP LEVE  PAINEL 2,00X3,00 M                                        00387MALHA POP LEVE  PAINEL 2,00X3,00 M      T1700000000000000
P212808484000189001CACAMBA CONSTRUTOR PRETO                                                  00390CACAMBA CONSTRUTOR PRETO                T1700000000000000
P212808484000189001PISO CER. 33X33 ARENITO BRANCO STD                                        00391PISO CER. 33X33 ARENITO BRANCO STD      T1700000000000000
P212808484000189001CAIXA DESCARGA PLUS CINZA CLARO                                           00393CAIXA DESCARGA PLUS CINZA CLARO         T1700000000000000
P212808484000189001ASSENTO SANIT.FOFINHO PLUS CINZA CLARO                                    00394ASSENTO SANIT.FOFINHO PLUS CINZA CLARO  T1700000000000000
P212808484000189001CAIXA DESCARGA PLUS BRANCO                                                00395CAIXA DESCARGA PLUS BRANCO              T1700000000000000
P212808484000189001CAIXA DESCARGA PLUS AMARELO TERRA                                         00396CAIXA DESCARGA PLUS AMARELO TERRA       T1700000000000000
P212808484000189001ASSENTO SANIT.FOFINHO PLUS BRANCO                                         00397ASSENTO SANIT.FOFINHO PLUS BRANCO       T1700000000000000
