TABELA CEST 2018;;;;;;;
CÓDIGO SEGMENTO;DESCRIÇÃO SEGMENTO;ITEM;CEST;NCM;DESCRIÇÃO;INÍCIO VIGÊNCIA;FINAL VIGÊNCIA
1;Autopeças;210;102100;7325;Obras moldadas, de ferro fundido, ferro ou aço, exceto as do código 7325.91.00;01/07/2017;
1;Autopeças;220;102200;780600;Peso de chumbo para balanceamento de roda;01/07/2017;
1;Autopeças;230;102300;80070090;Peso para balanceamento de roda e outros utensílios de estanho;01/07/2017;
1;Autopeças;240;102400;830120;Fechaduras e partes de fechaduras;01/07/2017;
1;Autopeças;240;102400;830160;Fechaduras e partes de fechaduras;01/07/2017;
1;Autopeças;250;102500;830170;Chaves apresentadas isoladamente;01/07/2017;
1;Autopeças;260;102600;83021000;Dobradiças, guarnições, ferragens e artigos semelhantes de metais comuns;01/07/2017;
1;Autopeças;260;102600;83023000;Dobradiças, guarnições, ferragens e artigos semelhantes de metais comuns;01/07/2017;
1;Autopeças;270;102700;831000;Triângulo de segurança;01/07/2017;
1;Autopeças;280;102800;84073;Motores de pistão alternativo dos tipos utilizados para propulsão de veículos do Capítulo 87;01/07/2017;
1;Autopeças;290;102900;840820;Motores dos tipos utilizados para propulsão de veículos automotores;01/07/2017;
1;Autopeças;300;103000;84099;Partes reconhecíveis como exclusiva ou principalmente destinadas aos motores das posições 8407 ou 8408;01/07/2017;
1;Autopeças;310;103100;84122;Motores hidráulicos;01/07/2017;
1;Autopeças;320;103200;841330;Bombas para combustíveis, lubrificantes ou líquidos de arrefecimento, próprias para motores de ignição por centelha ou por compressão;01/07/2017;
1;Autopeças;330;103300;84141000;Bombas de vácuo;01/07/2017;
1;Autopeças;340;103400;8414801;Compressores e turbocompressores de ar;01/07/2017;
1;Autopeças;340;103400;8414802;Compressores e turbocompressores de ar;01/07/2017;
1;Autopeças;350;103500;8414909;Partes das bombas, compressores e turbocompressores dos CEST 01.032.00, 01.033.00 e 01.034.00;01/07/2017;
1;Autopeças;350;103500;84139190;Partes das bombas, compressores e turbocompressores dos CEST 01.032.00, 01.033.00 e 01.034.00;01/07/2017;
1;Autopeças;350;103500;84149010;Partes das bombas, compressores e turbocompressores dos CEST 01.032.00, 01.033.00 e 01.034.00;01/07/2017;
1;Autopeças;350;103500;8414903;Partes das bombas, compressores e turbocompressores dos CEST 01.032.00, 01.033.00 e 01.034.00;01/07/2017;
1;Autopeças;360;103600;841520;Máquinas e aparelhos de ar condicionado;01/07/2017;
1;Autopeças;370;103700;84212300;Aparelhos para filtrar óleos minerais nos motores de ignição por centelha ou por compressão;01/07/2017;
1;Autopeças;380;103800;84212990;Filtros a vácuo;01/07/2017;
1;Autopeças;390;103900;84219;Partes dos aparelhos para filtrar ou depurar líquidos ou gases;01/07/2017;
1;Autopeças;400;104000;84241000;Extintores, mesmo carregados;01/07/2017;
1;Autopeças;410;104100;84213100;Filtros de entrada de ar para motores de ignição por centelha ou por compressão;01/07/2017;
1;Autopeças;420;104200;84213920;Depuradores por conversão catalítica de gases de escape;01/07/2017;
1;Autopeças;430;104300;84254200;Macacos;01/07/2017;
1;Autopeças;440;104400;84311010;Partes para macacos do CEST 01.043.00;01/07/2017;
1;Autopeças;450;104500;8431492;Partes reconhecíveis como exclusiva ou principalmente destinadas às máquinas agrícolas ou rodoviárias;01/07/2017;
1;Autopeças;451;104501;84339090;Partes reconhecíveis como exclusiva ou principalmente destinadas às máquinas agrícolas ou rodoviárias;01/07/2017;
1;Autopeças;460;104600;84811000;Válvulas redutoras de pressão;01/07/2017;
1;Autopeças;470;104700;84812;Válvulas para transmissão óleo-hidráulicas ou pneumáticas;01/07/2017;
1;Autopeças;480;104800;84818092;Válvulas solenoides;01/07/2017;
1;Autopeças;490;104900;8482;Rolamentos;01/07/2017;
1;Autopeças;500;105000;8483;"Árvores de transmissão (incluídas as árvores de “cames” e virabrequins) e manivelas; mancais e “bronzes”; engrenagens e rodas de fricção; eixos de esferas ou de roletes; redutores, multiplicadores, caixas de transmissão e variadores de velocidade, incluídos os conversores de torque; volantes e polias, incluídas as polias para cadernais; embreagens e dispositivos de acoplamento, incluídas as juntas de articulação";01/07/2017;
1;Autopeças;510;105100;8484;"Juntas metaloplásticas; jogos ou sortidos de juntas de composições diferentes, apresentados em bolsas, envelopes ou embalagens semelhantes; juntas de vedação mecânicas (selos mecânicos)";01/07/2017;
1;Autopeças;520;105200;850520;Acoplamentos, embreagens, variadores de velocidade e freios, eletromagnéticos;01/07/2017;
1;Autopeças;530;105300;850710;Acumuladores elétricos de chumbo, do tipo utilizado para o arranque dos motores de pistão, exceto os classificados no CEST 01.053.01;01/07/2017;
1;Autopeças;531;105301;85071010;Acumuladores elétricos de chumbo, do tipo utilizado para o arranque dos motores de pistão e de capacidade inferior ou igual a 20 Ah e tensão inferior ou igual a 12 V;01/07/2017;
1;Autopeças;540;105400;8511;"Aparelhos e dispositivos elétricos de ignição ou de arranque para motores de ignição por centelha ou por compressão (por exemplo, magnetos, dínamos-magnetos, bobinas de ignição, velas de ignição ou de aquecimento, motores de arranque); geradores (dínamos e alternadores, por exemplo) e conjuntores-disjuntores utilizados com estes motores";01/07/2017;
1;Autopeças;550;105500;851240;Aparelhos elétricos de iluminação ou de sinalização (exceto os da posição 8539), limpadores de para-brisas, degeladores e desembaçadores (desembaciadores) elétricos e suas partes;01/07/2017;
1;Autopeças;550;105500;851220;Aparelhos elétricos de iluminação ou de sinalização (exceto os da posição 8539), limpadores de para-brisas, degeladores e desembaçadores (desembaciadores) elétricos e suas partes;01/07/2017;
1;Autopeças;550;105500;85129000;Aparelhos elétricos de iluminação ou de sinalização (exceto os da posição 8539), limpadores de para-brisas, degeladores e desembaçadores (desembaciadores) elétricos e suas partes;01/07/2017;
1;Autopeças;560;105600;85171213;Telefones móveis do tipo dos utilizados em veículos automóveis.;01/07/2017;
1;Autopeças;570;105700;8518;Alto-falantes, amplificadores elétricos de audiofrequência e partes;01/07/2017;
1;Autopeças;580;105800;85185000;Aparelhos elétricos de amplificação de som para veículos automotores;01/07/2017;
1;Autopeças;590;105900;851981;Aparelhos de reprodução de som;01/07/2017;
1;Autopeças;600;106000;8525501;Aparelhos transmissores (emissores) de radiotelefonia ou radiotelegrafia (rádio receptor/transmissor);01/07/2017;
1;Autopeças;600;106000;85256010;Aparelhos transmissores (emissores) de radiotelefonia ou radiotelegrafia (rádio receptor/transmissor);01/07/2017;
1;Autopeças;610;106100;85272100;Aparelhos receptores de radiodifusão que só funcionem com fonte externa de energia combinados com um aparelho de gravação ou de reprodução de som, do tipo utilizado em veículos automóveis;01/07/2017;
1;Autopeças;620;106200;85272900;Outros aparelhos receptores de radiodifusão que só funcionem com fonte externa de energia, do tipo utilizado em veículos automóveis;01/07/2017;
1;Autopeças;621;106201;85219090;Outros aparelhos videofônicos de gravação ou de reprodução, mesmo incorporando um receptor de sinais videofônicos, dos tipos utilizados exclusivamente em veículos automotores;01/07/2017;
1;Autopeças;630;106300;85291090;Antenas;01/07/2017;
1;Autopeças;640;106400;853400;Circuitos impressos;01/07/2017;
1;Autopeças;650;106500;853650;Interruptores e seccionadores e comutadores;01/07/2017;
1;Autopeças;650;106500;853530;Interruptores e seccionadores e comutadores;01/07/2017;
1;Autopeças;660;106600;85361000;Fusíveis e corta-circuitos de fusíveis;01/07/2017;
1;Autopeças;670;106700;85362000;Disjuntores;01/07/2017;
1;Autopeças;680;106800;85364;Relés;01/07/2017;
1;Autopeças;690;106900;8538;Partes reconhecíveis como exclusivas ou principalmente destinados aos aparelhos dos CEST 01.065.00, 01.066.00, 01.067.00 e 01.068.00;01/07/2017;
1;Autopeças;700;107000;853910;Faróis e projetores, em unidades seladas;01/07/2017;
1;Autopeças;710;107100;85392;Lâmpadas e tubos de incandescência, exceto de raios ultravioleta ou infravermelhos;01/07/2017;
1;Autopeças;720;107200;85442000;Cabos coaxiais e outros condutores elétricos coaxiais;01/07/2017;
1;Autopeças;730;107300;85443000;Jogos de fios para velas de ignição e outros jogos de fios;01/07/2017;
1;Autopeças;740;107400;8707;Carroçarias para os veículos automóveis das posições 8701 a 8705, incluídas as cabinas;01/07/2017;
1;Autopeças;750;107500;8708;Partes e acessórios dos veículos automóveis das posições 8701 a 8705;01/07/2017;
1;Autopeças;760;107600;87141;Parte e acessórios de motocicletas (incluídos os ciclomotores);01/07/2017;
1;Autopeças;770;107700;87169090;Engates para reboques e semirreboques;01/07/2017;
1;Autopeças;780;107800;902610;"Medidores de nível; Medidores de vazão";01/07/2017;
1;Autopeças;790;107900;902620;Aparelhos para medida ou controle da pressão;01/07/2017;
1;Autopeças;800;108000;9029;Contadores, indicadores de velocidade e tacômetros, suas partes e acessórios;01/07/2017;
1;Autopeças;810;108100;90303321;Amperímetros;01/07/2017;
1;Autopeças;820;108200;90318040;Aparelhos digitais, de uso em veículos automóveis, para medida e indicação de múltiplas grandezas tais como: velocidade média, consumos instantâneo e médio e autonomia (computador de bordo);01/07/2017;
1;Autopeças;830;108300;9032892;Controladores eletrônicos;01/07/2017;
1;Autopeças;840;108400;91040000;Relógios para painéis de instrumentos e relógios semelhantes;01/07/2017;
1;Autopeças;850;108500;94019090;Assentos e partes de assentos;01/07/2017;
1;Autopeças;850;108500;94012000;Assentos e partes de assentos;01/07/2017;
1;Autopeças;860;108600;96138000;Acendedores;01/07/2017;
1;Autopeças;870;108700;4009;Tubos de borracha vulcanizada não endurecida, mesmo providos de seus acessórios;01/07/2017;
1;Autopeças;880;108800;68129910;Juntas de vedação de cortiça natural e de amianto;01/07/2017;
1;Autopeças;880;108800;45049000;Juntas de vedação de cortiça natural e de amianto;01/07/2017;
1;Autopeças;890;108900;48234000;Papel-diagrama para tacógrafo, em disco;01/07/2017;
1;Autopeças;900;109000;39191010;"Fitas, tiras, adesivos, autocolantes, de plástico, refletores, mesmo em rolos; placas metálicas com película de plástico refletora, próprias para colocação em carrocerias, para-choques de veículos de carga, motocicletas, ciclomotores, capacetes, bonés de agentes de trânsito e de condutores de veículos, atuando como dispositivos refletivos de segurança rodoviários";01/07/2017;
1;Autopeças;900;109000;39191020;"Fitas, tiras, adesivos, autocolantes, de plástico, refletores, mesmo em rolos; placas metálicas com película de plástico refletora, próprias para colocação em carrocerias, para-choques de veículos de carga, motocicletas, ciclomotores, capacetes, bonés de agentes de trânsito e de condutores de veículos, atuando como dispositivos refletivos de segurança rodoviários";01/07/2017;
1;Autopeças;900;109000;39199010;"Fitas, tiras, adesivos, autocolantes, de plástico, refletores, mesmo em rolos; placas metálicas com película de plástico refletora, próprias para colocação em carrocerias, para-choques de veículos de carga, motocicletas, ciclomotores, capacetes, bonés de agentes de trânsito e de condutores de veículos, atuando como dispositivos refletivos de segurança rodoviários";01/07/2017;
1;Autopeças;900;109000;39199020;"Fitas, tiras, adesivos, autocolantes, de plástico, refletores, mesmo em rolos; placas metálicas com película de plástico refletora, próprias para colocação em carrocerias, para-choques de veículos de carga, motocicletas, ciclomotores, capacetes, bonés de agentes de trânsito e de condutores de veículos, atuando como dispositivos refletivos de segurança rodoviários";01/07/2017;
1;Autopeças;900;109000;39199090;"Fitas, tiras, adesivos, autocolantes, de plástico, refletores, mesmo em rolos; placas metálicas com película de plástico refletora, próprias para colocação em carrocerias, para-choques de veículos de carga, motocicletas, ciclomotores, capacetes, bonés de agentes de trânsito e de condutores de veículos, atuando como dispositivos refletivos de segurança rodoviários";01/07/2017;
1;Autopeças;900;109000;87082999;"Fitas, tiras, adesivos, autocolantes, de plástico, refletores, mesmo em rolos; placas metálicas com película de plástico refletora, próprias para colocação em carrocerias, para-choques de veículos de carga, motocicletas, ciclomotores, capacetes, bonés de agentes de trânsito e de condutores de veículos, atuando como dispositivos refletivos de segurança rodoviários";01/07/2017;
1;Autopeças;900;109000;39191090;"Fitas, tiras, adesivos, autocolantes, de plástico, refletores, mesmo em rolos; placas metálicas com película de plástico refletora, próprias para colocação em carrocerias, para-choques de veículos de carga, motocicletas, ciclomotores, capacetes, bonés de agentes de trânsito e de condutores de veículos, atuando como dispositivos refletivos de segurança rodoviários";01/07/2017;
1;Autopeças;910;109100;84123110;Cilindros pneumáticos;01/07/2017;
1;Autopeças;920;109200;84138100;Bomba elétrica de lavador de para-brisa;01/07/2017;
1;Autopeças;920;109200;84131900;Bomba elétrica de lavador de para-brisa;01/07/2017;
1;Autopeças;920;109200;84135090;Bomba elétrica de lavador de para-brisa;01/07/2017;
1;Autopeças;930;109300;84136019;Bomba de assistência de direção hidráulica;01/07/2017;
1;Autopeças;930;109300;84137010;Bomba de assistência de direção hidráulica;01/07/2017;
1;Autopeças;940;109400;84145910;Motoventiladores;01/07/2017;
1;Autopeças;940;109400;84145990;Motoventiladores;01/07/2017;
1;Autopeças;950;109500;84213990;Filtros de pólen do ar-condicionado;01/07/2017;
1;Autopeças;960;109600;85011019;“Máquina” de vidro elétrico de porta;01/07/2017;
1;Autopeças;970;109700;85013110;Motor de limpador de para-brisa;01/07/2017;
1;Autopeças;980;109800;85045000;Bobinas de reatância e de autoindução;01/07/2017;
1;Autopeças;990;109900;850730;Baterias de chumbo e de níquel-cádmio;01/07/2017;
1;Autopeças;990;109900;850720;Baterias de chumbo e de níquel-cádmio;01/07/2017;
1;Autopeças;1000;110000;85123000;Aparelhos de sinalização acústica (buzina);01/07/2017;
1;Autopeças;1010;110100;9032899;Instrumentos para regulação de grandezas não elétricas;01/07/2017;
1;Autopeças;1010;110100;9032898;Instrumentos para regulação de grandezas não elétricas;01/07/2017;
1;Autopeças;1020;110200;90271000;Analisadores de gases ou de fumaça (sonda lambda);01/07/2017;
1;Autopeças;1030;110300;40081100;Perfilados de borracha vulcanizada não endurecida;01/07/2017;
1;Autopeças;1040;110400;56012219;Artefatos de pasta de fibra de uso automotivo;01/07/2017;
1;Autopeças;1050;110500;57032000;Tapetes/carpetes - nailón;01/07/2017;
1;Autopeças;1060;110600;57033000;Tapetes de matérias têxteis sintéticas;01/07/2017;
1;Autopeças;1070;110700;59119000;Forração interior capacete;01/07/2017;
1;Autopeças;1080;110800;69039099;Outros para-brisas;01/07/2017;
1;Autopeças;1090;110900;70072900;Moldura com espelho;01/07/2017;
1;Autopeças;1100;111000;73145000;Corrente de transmissão;01/07/2017;
1;Autopeças;1110;111100;73151100;Corrente transmissão;01/07/2017;
1;Autopeças;1120;111200;73151210;Outras correntes de transmissão;01/07/2017;
1;Autopeças;1130;111300;84189900;Condensador tubular metálico;01/07/2017;
1;Autopeças;1140;111400;841950;Trocadores de calor;01/07/2017;
1;Autopeças;1150;111500;84249090;Partes de aparelhos mecânicos de pulverizar ou dispersar;01/07/2017;
1;Autopeças;1160;111600;84254910;Macacos manuais para veículos;01/07/2017;
1;Autopeças;1170;111700;84314100;Caçambas, pás, ganchos e tenazes para máquinas rodoviárias;01/07/2017;
1;Autopeças;1180;111800;85016100;Geradores de corrente alternada de potência não superior a 75 kva;01/07/2017;
1;Autopeças;1190;111900;85311090;Aparelhos elétricos para alarme de uso automotivo;01/07/2017;
1;Autopeças;1200;112000;90141000;Bússolas;01/07/2017;
1;Autopeças;1210;112100;90251990;Indicadores de temperatura;01/07/2017;
1;Autopeças;1220;112200;90259010;Partes de indicadores de temperatura;01/07/2017;
1;Autopeças;1230;112300;902690;Partes de aparelhos de medida ou controle;01/07/2017;
1;Autopeças;1240;112400;90321010;Termostatos;01/07/2017;
1;Autopeças;1250;112500;90321090;Instrumentos e aparelhos para regulação;01/07/2017;
1;Autopeças;1260;112600;90322000;Pressostatos;01/07/2017;
1;Autopeças;1270;112700;871690;Peças para reboques e semirreboques, exceto os itens classificados no CEST 01.077.00;01/07/2017;
1;Autopeças;1280;112800;73229010;Geradores de ar quente a combustível líquido, com capacidade superior ou igual a 1.500 kcal/h, mas inferior ou igual a 10.400 kcal/h, do tipo dos utilizados em veículos automóveis;01/07/2017;
1;Autopeças;9990;199900;NT;Outras peças, partes e acessórios para veículos automotores não relacionados nos demais itens deste anexo;01/07/2017;
2;Bebidas alcoólicas, exceto cerveja e chope;10;200100;2205;Aperitivos, amargos, bitter e similares;01/07/2017;
2;Bebidas alcoólicas, exceto cerveja e chope;10;200100;22089000;Aperitivos, amargos, bitter e similares;01/07/2017;
2;Bebidas alcoólicas, exceto cerveja e chope;20;200200;22089000;Batida e similares;01/07/2017;
2;Bebidas alcoólicas, exceto cerveja e chope;30;200300;22089000;Bebida ice;01/07/2017;
2;Bebidas alcoólicas, exceto cerveja e chope;40;200400;22084000;Cachaça e aguardentes;01/07/2017;
2;Bebidas alcoólicas, exceto cerveja e chope;40;200400;220720;Cachaça e aguardentes;01/07/2017;
2;Bebidas alcoólicas, exceto cerveja e chope;50;200500;22060090;Catuaba e similares;01/07/2017;
2;Bebidas alcoólicas, exceto cerveja e chope;50;200500;22089000;Catuaba e similares;01/07/2017;
2;Bebidas alcoólicas, exceto cerveja e chope;50;200500;2205;Catuaba e similares;01/07/2017;
2;Bebidas alcoólicas, exceto cerveja e chope;60;200600;22082000;Conhaque, brandy e similares;01/07/2017;
2;Bebidas alcoólicas, exceto cerveja e chope;70;200700;22060090;Cooler;01/07/2017;
2;Bebidas alcoólicas, exceto cerveja e chope;70;200700;22089000;Cooler;01/07/2017;
2;Bebidas alcoólicas, exceto cerveja e chope;80;200800;22085000;Gim (gin) e genebra;01/07/2017;
2;Bebidas alcoólicas, exceto cerveja e chope;90;200900;2205;Jurubeba e similares;01/07/2017;
2;Bebidas alcoólicas, exceto cerveja e chope;90;200900;22060090;Jurubeba e similares;01/07/2017;
2;Bebidas alcoólicas, exceto cerveja e chope;90;200900;22089000;Jurubeba e similares;01/07/2017;
2;Bebidas alcoólicas, exceto cerveja e chope;100;201000;22087000;Licores e similares;01/07/2017;
2;Bebidas alcoólicas, exceto cerveja e chope;110;201100;22082000;Pisco;01/07/2017;
2;Bebidas alcoólicas, exceto cerveja e chope;120;201200;22084000;Rum;01/07/2017;
2;Bebidas alcoólicas, exceto cerveja e chope;130;201300;22060090;Saquê;01/07/2017;
2;Bebidas alcoólicas, exceto cerveja e chope;140;201400;22089000;Steinhaeger;01/07/2017;
2;Bebidas alcoólicas, exceto cerveja e chope;150;201500;22089000;Tequila;01/07/2017;
2;Bebidas alcoólicas, exceto cerveja e chope;160;201600;220830;Uísque;01/07/2017;
2;Bebidas alcoólicas, exceto cerveja e chope;170;201700;2205;Vermute e similares;01/07/2017;
2;Bebidas alcoólicas, exceto cerveja e chope;180;201800;22086000;Vodka;01/07/2017;
2;Bebidas alcoólicas, exceto cerveja e chope;190;201900;22089000;Derivados de vodka;01/07/2017;
2;Bebidas alcoólicas, exceto cerveja e chope;200;202000;22089000;Arak;01/07/2017;
2;Bebidas alcoólicas, exceto cerveja e chope;210;202100;22082000;Aguardente vínica / grappa;01/07/2017;
2;Bebidas alcoólicas, exceto cerveja e chope;220;202200;22060010;Sidra e similares;01/07/2017;
2;Bebidas alcoólicas, exceto cerveja e chope;230;202300;22060090;Sangrias e coquetéis;01/07/2017;
2;Bebidas alcoólicas, exceto cerveja e chope;230;202300;22089000;Sangrias e coquetéis;01/07/2017;
2;Bebidas alcoólicas, exceto cerveja e chope;230;202300;2205;Sangrias e coquetéis;01/07/2017;
2;Bebidas alcoólicas, exceto cerveja e chope;240;202400;2204;"Vinhos de uvas frescas, incluindo os vinhos enriquecidos com álcool; mostos de uvas.";01/07/2017;
2;Bebidas alcoólicas, exceto cerveja e chope;9990;299900;2206;Outras bebidas alcoólicas não especificadas nos itens anteriores;01/07/2017;
2;Bebidas alcoólicas, exceto cerveja e chope;9990;299900;2208;Outras bebidas alcoólicas não especificadas nos itens anteriores;01/07/2017;
2;Bebidas alcoólicas, exceto cerveja e chope;9990;299900;2205;Outras bebidas alcoólicas não especificadas nos itens anteriores;01/07/2017;
2;Bebidas alcoólicas, exceto cerveja e chope;9990;299900;2207;Outras bebidas alcoólicas não especificadas nos itens anteriores;01/07/2017;
3;Cervejas, chopes, refrigerantes, águas e outras bebidas;10;300100;22011000;Água mineral, gasosa ou não, ou potável, naturais, em garrafa de vidro, retornável ou não, com capacidade de até 500 ml;01/07/2017;
3;Cervejas, chopes, refrigerantes, águas e outras bebidas;20;300200;22011000;"Água mineral, gasosa ou não, ou potável, naturais, em embalagem com capacidade igual ou superior a 5.000 ml; exceto as classificadas no CEST 03.024.00 e 03.025.00";01/07/2017;
3;Cervejas, chopes, refrigerantes, águas e outras bebidas;30;300300;22011000;Água mineral, gasosa ou não, ou potável, naturais, em embalagem de vidro, não retornável, com capacidade de até 300 ml;01/07/2017;
3;Cervejas, chopes, refrigerantes, águas e outras bebidas;40;300400;22011000;Água mineral, gasosa ou não, ou potável, naturais, em garrafa plástica de 1.500 ml;01/07/2017;
3;Cervejas, chopes, refrigerantes, águas e outras bebidas;50;300500;22011000;Água mineral, gasosa ou não, ou potável, naturais, em copos plásticos e embalagem plástica com capacidade de até 500 ml;01/07/2017;
3;Cervejas, chopes, refrigerantes, águas e outras bebidas;60;300600;22011000;"Outras águas minerais, potáveis ou naturais, gasosas ou não, inclusive gaseificadas; exceto as classificadas no CEST 03.024.00 e 03.025.00";01/07/2017;
3;Cervejas, chopes, refrigerantes, águas e outras bebidas;70;300700;22021000;Águas minerais, potáveis ou naturais, gasosas ou não, inclusive gaseificadas ou aromatizadas artificialmente, exceto os refrescos e refrigerantes;01/07/2017;
3;Cervejas, chopes, refrigerantes, águas e outras bebidas;80;300800;22029900;Outras águas minerais, potáveis ou naturais, gasosas ou não, inclusive gaseificadas ou aromatizadas artificialmente;01/07/2017;
3;Cervejas, chopes, refrigerantes, águas e outras bebidas;100;301000;2202;Refrigerantes em garrafa com capacidade igual ou superior a 600 ml, exceto os classificados no CEST 03.011.01;01/07/2017;
3;Cervejas, chopes, refrigerantes, águas e outras bebidas;110;301100;2202;Demais refrigerantes, exceto os classificados no CEST 03.010.00 e 03.011.01;01/07/2017;
3;Cervejas, chopes, refrigerantes, águas e outras bebidas;111;301101;2202;Espumantes sem álcool;01/07/2017;
3;Cervejas, chopes, refrigerantes, águas e outras bebidas;120;301200;21069010;Xarope ou extrato concentrado destinados ao preparo de refrigerante em máquina “pré-mix” ou “post-mix”;01/07/2017;
3;Cervejas, chopes, refrigerantes, águas e outras bebidas;130;301300;22029900;Bebidas energéticas em embalagem com capacidade inferior a 600ml;01/07/2017;
3;Cervejas, chopes, refrigerantes, águas e outras bebidas;130;301300;210690;Bebidas energéticas em embalagem com capacidade inferior a 600ml;01/07/2017;
3;Cervejas, chopes, refrigerantes, águas e outras bebidas;140;301400;210690;Bebidas energéticas em embalagem com capacidade igual ou superior a 600ml;01/07/2017;
3;Cervejas, chopes, refrigerantes, águas e outras bebidas;140;301400;22029900;Bebidas energéticas em embalagem com capacidade igual ou superior a 600ml;01/07/2017;
3;Cervejas, chopes, refrigerantes, águas e outras bebidas;150;301500;22029900;Bebidas hidroeletrolíticas (isotônicas) em embalagem com capacidade inferior a 600ml;01/07/2017;
3;Cervejas, chopes, refrigerantes, águas e outras bebidas;150;301500;210690;Bebidas hidroeletrolíticas (isotônicas) em embalagem com capacidade inferior a 600ml;01/07/2017;
3;Cervejas, chopes, refrigerantes, águas e outras bebidas;160;301600;210690;Bebidas hidroeletrolíticas (isotônicas) em embalagem com capacidade inferior a 600ml;01/07/2017;
3;Cervejas, chopes, refrigerantes, águas e outras bebidas;160;301600;22029900;Bebidas hidroeletrolíticas (isotônicas) em embalagem com capacidade igual ou superior a 600ml;01/07/2017;
3;Cervejas, chopes, refrigerantes, águas e outras bebidas;210;302100;22030000;Cerveja;01/07/2017;
3;Cervejas, chopes, refrigerantes, águas e outras bebidas;220;302200;22029100;Cerveja sem álcool;01/07/2017;
3;Cervejas, chopes, refrigerantes, águas e outras bebidas;230;302300;22030000;Chope;01/07/2017;
3;Cervejas, chopes, refrigerantes, águas e outras bebidas;240;302400;22011000;Água mineral em embalagens retornáveis com capacidade igual ou superior a 10 (dez) e inferior a 20 (vinte) litros;01/07/2017;
3;Cervejas, chopes, refrigerantes, águas e outras bebidas;250;302500;22011000;Água mineral em embalagens retornáveis com capacidade igual ou superior a 20 (vinte) litros;01/07/2017;
4;Cigarros e outros produtos derivados do fumo;10;400100;2402;Charutos, cigarrilhas e cigarros, de tabaco ou dos seus sucedâneos;01/07/2017;
4;Cigarros e outros produtos derivados do fumo;20;400200;24031;Tabaco para fumar, mesmo contendo sucedâneos de tabaco em qualquer proporção;01/07/2017;
5;Cimentos;10;500100;2523;Cimento;01/07/2017;
